Symbol,Name,Sector,ShortName
MMM,3M Co.,Industrials,3M
ACE,ACE Limited,Financials,ACE Limited
ABT,Abbott Laboratories,Health Care,Abbott Laboratories
ANF,Abercrombie & Fitch Company A,Consumer Discretionary,Abercrombie & Fitch
ACN,Accenture,Information Technology,Accenture
ADBE,Adobe Systems Inc,Information Technology,Adobe Systems
AMD,Advanced Micro Devices,Information Technology,Advanced Micro Devices
AES,AES Corp,Utilities,AES
AET,Aetna Inc,Health Care,Aetna
AFL,AFLAC Inc,Financials,AFLAC
A,Agilent Technologies Inc,Health Care,Agilent Technologies
GAS,AGL Resources Inc.,Utilities,AGL Resources
APD,Air Products & Chemicals Inc,Materials,Air Products & Chemicals
ARG,Airgas Inc,Materials,Airgas
AKAM,Akamai Technologies Inc,Information Technology,Akamai Technologies
AA,Alcoa Inc,Materials,Alcoa
ALXN,Alexion Pharmaceuticals,Health Care,Alexion Pharmaceuticals
ATI,Allegheny Technologies Inc,Materials,Allegheny Technologies
AGN,Allergan Inc,Health Care,Allergan
ALL,Allstate Corp,Financials,Allstate
ANR,Alpha Natural Resources,Energy,Alpha Natural Resources
ALTR,Altera Corp,Information Technology,Altera
MO,Altria Group Inc,Consumer Staples,Altria Group
AMZN,Amazon.com Inc,Consumer Discretionary,Amazon
AEE,Ameren Corp,Utilities,Ameren
AEP,American Electric Power,Utilities,American Electric Power
AXP,American Express Co,Financials,American Express
AIG,American Intl Group Inc,Financials,American Intl Group
AMT,American Tower Corp A,Financials,American Tower
AMP,Ameriprise Financial,Financials,Ameriprise Financial
ABC,AmerisourceBergen Corp,Health Care,AmerisourceBergen
AMGN,Amgen Inc,Health Care,Amgen
APH,Amphenol Corp A,Industrials,Amphenol
APC,Anadarko Petroleum Corp,Energy,Anadarko Petroleum
ADI,Analog Devices Inc,Information Technology,Analog Devices
AON,Aon plc,Financials,Aon
APA,Apache Corporation,Energy,Apache
AIV,Apartment Investment & Mgmt,Financials,Apartment Investment & Mgmt
APOL,Apollo Group Inc,Consumer Discretionary,Apollo Group
AAPL,Apple Inc.,Information Technology,Apple
AMAT,Applied Materials Inc,Information Technology,Applied Materials
ADM,Archer-Daniels-Midland Co,Consumer Staples,Archer-Daniels-Midland
AIZ,Assurant Inc,Financials,Assurant
T,AT&T Inc,Telecommunications Services,AT&T
ADSK,Autodesk Inc,Information Technology,Autodesk
ADP,Automatic Data Processing,Information Technology,Automatic Data Processing
AN,AutoNation Inc,Consumer Discretionary,AutoNation
AZO,AutoZone Inc,Consumer Discretionary,AutoZone
AVB,"AvalonBay Communities, Inc.",Financials,AvalonBay
AVY,Avery Dennison Corp,Industrials,Avery Dennison
AVP,Avon Products,Consumer Staples,Avon Products
BHI,Baker Hughes Inc,Energy,Baker Hughes
BLL,Ball Corp,Materials,Ball
BAC,Bank of America Corp,Financials,Bank of America
BK,The Bank of New York Mellon Corp.,Financials,The Bank of New York Mellon
BCR,Bard (C.R.) Inc.,Health Care,Bard (C.R.)
BAX,Baxter International Inc.,Health Care,Baxter International
BBT,BB&T Corporation,Financials,BB&T
BEAM,Beam Inc.,Consumer Discretionary,Beam
BDX,Becton Dickinson,Health Care,Becton Dickinson
BBBY,Bed Bath & Beyond,Consumer Discretionary,Bed Bath & Beyond
BMS,Bemis Company,Materials,Bemis
BRK_B,Berkshire Hathaway,Financials,Berkshire Hathaway
BBY,Best Buy Co. Inc.,Consumer Discretionary,Best Buy
BIG,Big Lots Inc.,Consumer Discretionary,Big Lots
BIIB,BIOGEN IDEC Inc.,Health Care,BIOGEN IDEC
BLK,BlackRock,Financials,BlackRock
HRB,Block H&R,Consumer Discretionary,Block H&R
BMC,BMC Software,Information Technology,BMC Software
BA,Boeing Company,Industrials,Boeing
BWA,BorgWarner,Consumer Discretionary,BorgWarner
BXP,Boston Properties,Financials,Boston Properties
BSX,Boston Scientific,Health Care,Boston Scientific
BMY,Bristol-Myers Squibb,Health Care,Bristol-Myers Squibb
BRCM,Broadcom Corporation,Information Technology,Broadcom
BF_B,Brown-Forman Corporation,Consumer Staples,Brown-Forman
CHRW,C. H. Robinson Worldwide,Industrials,C. H. Robinson Worldwide
CA,"CA, Inc.",Information Technology,CA
CVC,Cablevision Systems Corp.,Consumer Discretionary,Cablevision Systems
COG,Cabot Oil & Gas,Energy,Cabot Oil & Gas
CAM,Cameron International Corp.,Energy,Cameron International
CPB,Campbell Soup,Consumer Staples,Campbell Soup
COF,Capital One Financial,Financials,Capital One Financial
CAH,Cardinal Health Inc.,Health Care,Cardinal Health
CFN,Carefusion,Health Care,Carefusion
KMX,Carmax Inc,Consumer Discretionary,Carmax
CCL,Carnival Corp.,Consumer Discretionary,Carnival
CAT,Caterpillar Inc.,Industrials,Caterpillar
CBG,CBRE Group,Financials,CBRE Group
CBS,CBS Corp.,Consumer Discretionary,CBS
CELG,Celgene Corp.,Health Care,Celgene
CNP,CenterPoint Energy,Utilities,CenterPoint Energy
CTL,CenturyLink Inc,Telecommunications Services,CenturyLink
CERN,Cerner,Health Care,Cerner
CF,CF Industries Holdings Inc,Materials,CF Industries Holdings
SCHW,Charles Schwab,Financials,Charles Schwab
CHK,Chesapeake Energy,Energy,Chesapeake Energy
CVX,Chevron Corp.,Energy,Chevron
CMG,Chipotle Mexican Grill,Consumer Discretionary,Chipotle Mexican Grill
CB,Chubb Corp.,Financials,Chubb
CI,CIGNA Corp.,Health Care,CIGNA
CINF,Cincinnati Financial,Financials,Cincinnati Financial
CTAS,Cintas Corporation,Industrials,Cintas
CSCO,Cisco Systems,Information Technology,Cisco Systems
C,Citigroup Inc.,Financials,Citigroup
